stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station
20088,SCHAP2,Sept Chapelles,,+41.908698,+08.713670,0,10043
20089,LGALE2,Les Galets,,+41.908729,+08.715890,0,10042
20090,CHDGR2,Chapelle des Grecs,,+41.908881,+08.718787,0,10041
20091,LMOUE2,Les Mouettes,,+41.909959,+08.721061,0,10040
20092,PRBER2,Parc Berthault,,+41.911715,+08.722467,0,10039
20093,TROTT2,Trottel,,+41.913054,+08.726800,0,10038
20094,PLMIO2,Place Miot,,+41.914065,+08.729210,0,10037
20095,ALMIM2,Allée des Mimosas,,+41.915531,+08.730731,0,10036
20096,MARCA2,Marcaggi,,+41.916643,+08.732034,0,10035
10061,STFRA,Saint François,,+41.917099,+08.733924,1,
20097,STFRA2,Saint François,,+41.917099,+08.733924,0,10061
20026,PRIMP2,Prince Impérial,,+41.933824,+08.746071,0,10012
20098,LEPAN2,LEP Antonini,,+41.935693,+08.753600,0,10060
10062,CHAGR,Chambre d'Agriculture,,+41.937733,+08.754189,1,
20099,CHAGR2,Chambre d'Agriculture,,+41.937733,+08.754189,0,10062
20100,MADUN2,Madunuccia,,+41.939221,+08.755584,0,10059
20101,ORDBO2,Orée des Bois,,+41.941201,+08.756188,0,10058
20102,APF2,APF,,+41.942635,+08.756999,0,10057
20103,ROCAD2,Rocade,,+41.944505,+08.758333,0,10056
20104,SUART2,Suartello,,+41.947442,+08.763151,0,10055
20105,RANUC2,Ranucchietto,,+41.949081,+08.767201,0,10054
20106,ACQST2,Acqualonga Stade,,+41.950535,+08.772415,0,10053
20107,ACQUA2,Acqualonga,,+41.951979,+08.775565,0,10052
20108,MAANN2,Mairie Annexe,,+41.952027,+08.778660,0,10051
20109,MEZZA2,Mezzavia,,+41.952306,+08.780419,0,10050
20110,PTCON2,Pont de la Confina,,+41.952022,+08.784684,0,10049
10063,PIETR,Pietralba,,+41.938563,+08.763394,1,
20111,PIETR1,Pietralba,,+41.938563,+08.763394,0,10063
10064,CODPI,Collines de Pietralba,,+41.937730,+08.762416,1,
20112,CODPI1,Collines de Pietralba,,+41.937722,+08.762337,0,10064
10065,RESPI,Résidence Les Pins,,+41.936999,+08.759923,1,
20113,RESPI1,Résidence Les Pins,,+41.937035,+08.759930,0,10065
10066,MTTHA,Mont Thabor,,+41.936910,+08.757754,1,
20114,MTTHA1,Mont Thabor,,+41.936928,+08.757721,0,10066
10067,BELHO,Bel Horizonte,,+41.935940,+08.756133,1,
20115,BELHO1,Bel Horizonte,,+41.935934,+08.756182,0,10067
10068,MRJUI,Maréchal Juin,,+41.935221,+08.751059,1,
20116,MRJUI1,Maréchal Juin,,+41.935372,+08.750946,0,10068
10069,PISCA,Piscine Caneton,,+41.937540,+08.750895,1,
20117,PISCA1,Piscine Caneton,,+41.937474,+08.751011,0,10069
10070,RESCA,Résidence Candia,,+41.939242,+08.750869,1,
20118,RESCA1,Résidence Candia,,+41.939382,+08.750963,0,10070
