object_id,object_system,object_code
stop_point:8775859:810:A,source,stop_point:8775859:810:A
stop_point:8775800:810:A,source,stop_point:8775800:810:A
stop_point:8775802:810:A,source,stop_point:8775802:810:A
stop_point:8775804:810:A,source,stop_point:8775804:810:A
stop_point:8775805:810:A,source,stop_point:8775805:810:A
stop_point:8775820:810:A,source,stop_point:8775820:810:A
stop_point:8775819:810:A,source,stop_point:8775819:810:A
stop_point:8775818:810:A,source,stop_point:8775818:810:A
stop_point:8775817:810:A,source,stop_point:8775817:810:A
stop_point:8775816:810:A,source,stop_point:8775816:810:A
stop_point:8775815:810:A,source,stop_point:8775815:810:A
stop_point:8775814:810:A,source,stop_point:8775814:810:A
stop_point:8775813:810:A,source,stop_point:8775813:810:A
stop_point:8775812:810:A,source,stop_point:8775812:810:A
stop_point:8738640:810:A,source,stop_point:8738640:810:A
stop_point:8738641:810:A,source,stop_point:8738641:810:A
stop_point:8738642:810:A,source,stop_point:8738642:810:A
stop_point:8738605:810:A,source,stop_point:8738605:810:A
stop_point:8738657:810:A,source,stop_point:8738657:810:A
stop_point:8775806:810:A,source,stop_point:8775806:810:A
stop_point:8775807:810:A,source,stop_point:8775807:810:A
stop_point:8775808:810:A,source,stop_point:8775808:810:A
stop_point:8775809:810:A,source,stop_point:8775809:810:A
stop_point:8775499:810:A,source,stop_point:8775499:810:A
stop_point:8773006:810:A,source,stop_point:8773006:810:A
stop_point:8775498:810:A,source,stop_point:8775498:810:A
stop_point:8738165:810:A,source,stop_point:8738165:810:A
stop_point:8738145:810:A,source,stop_point:8738145:810:A
stop_point:8733448:810:A,source,stop_point:8733448:810:A
stop_point:8738190:810:A,source,stop_point:8738190:810:A
stop_point:8738249:810:A,source,stop_point:8738249:810:A
stop_point:8738265:810:A,source,stop_point:8738265:810:A
stop_point:8775858:810:A,source,stop_point:8775858:810:A
stop_point:8775801:810:A,source,stop_point:8775801:810:A
stop_point:8775803:810:A,source,stop_point:8775803:810:A
stop_point:8775830:810:A,source,stop_point:8775830:810:A
stop_point:8798751:810:A,source,stop_point:8798751:810:A
stop_point:8738668:810:A,source,stop_point:8738668:810:A
stop_point:8727141:810:B,source,stop_point:8727141:810:B
stop_point:8727144:810:B,source,stop_point:8727144:810:B
stop_point:8727145:810:B,source,stop_point:8727145:810:B
stop_point:8727148:810:B,source,stop_point:8727148:810:B
stop_point:8727146:810:B,source,stop_point:8727146:810:B
stop_point:8727147:810:B,source,stop_point:8727147:810:B
stop_point:8727140:810:B,source,stop_point:8727140:810:B
stop_point:8727139:810:B,source,stop_point:8727139:810:B
stop_point:8727130:810:B,source,stop_point:8727130:810:B
stop_point:8716479:810:B,source,stop_point:8716479:810:B
stop_point:8727102:810:B,source,stop_point:8727102:810:B
stop_point:8775860:810:B,source,stop_point:8775860:810:B
stop_point:8778543:810:B,source,stop_point:8778543:810:B
stop_point:8775861:810:B,source,stop_point:8775861:810:B
stop_point:8775862:810:B,source,stop_point:8775862:810:B
stop_point:8775863:810:B,source,stop_point:8775863:810:B
stop_point:8775864:810:B,source,stop_point:8775864:810:B
stop_point:8775865:810:B,source,stop_point:8775865:810:B
stop_point:8775866:810:B,source,stop_point:8775866:810:B
stop_point:8775867:810:B,source,stop_point:8775867:810:B
stop_point:8775868:810:B,source,stop_point:8775868:810:B
stop_point:8775869:810:B,source,stop_point:8775869:810:B
stop_point:8775870:810:B,source,stop_point:8775870:810:B
stop_point:8775871:810:B,source,stop_point:8775871:810:B
stop_point:8775872:810:B,source,stop_point:8775872:810:B
stop_point:8775874:810:B,source,stop_point:8775874:810:B
stop_point:8775875:810:B,source,stop_point:8775875:810:B
stop_point:8775879:810:B,source,stop_point:8775879:810:B
stop_point:8775880:810:B,source,stop_point:8775880:810:B
stop_point:8775881:810:B,source,stop_point:8775881:810:B
stop_point:8775882:810:B,source,stop_point:8775882:810:B
stop_point:8775883:810:B,source,stop_point:8775883:810:B
stop_point:8775884:810:B,source,stop_point:8775884:810:B
stop_point:8775885:810:B,source,stop_point:8775885:810:B
stop_point:8775886:810:B,source,stop_point:8775886:810:B
stop_point:8775887:810:B,source,stop_point:8775887:810:B
stop_point:8775888:810:B,source,stop_point:8775888:810:B
stop_point:8775889:810:B,source,stop_point:8775889:810:B
stop_point:8759492:810:B,source,stop_point:8759492:810:B
stop_point:8759118:810:B,source,stop_point:8759118:810:B
stop_point:8700147:810:B,source,stop_point:8700147:810:B
stop_point:8727103:810:B,source,stop_point:8727103:810:B
stop_point:8775873:810:B,source,stop_point:8775873:810:B
stop_point:8775876:810:B,source,stop_point:8775876:810:B
stop_point:8775877:810:B,source,stop_point:8775877:810:B
stop_point:8775878:810:B,source,stop_point:8775878:810:B
stop_point:8727152:810:B,source,stop_point:8727152:810:B
stop_point:8727151:810:B,source,stop_point:8727151:810:B
stop_point:8727143:810:B,source,stop_point:8727143:810:B
stop_point:8727142:810:B,source,stop_point:8727142:810:B
stop_point:8711340:800:E,source,stop_point:8711340:800:E
stop_point:8711369:800:E,source,stop_point:8711369:800:E
stop_point:8711370:800:E,source,stop_point:8711370:800:E
stop_point:8711371:800:E,source,stop_point:8711371:800:E
stop_point:8711374:800:E,source,stop_point:8711374:800:E
