stop_id,stop_code,stop_name,stop_desc,stop_lon,stop_lat,zone_id,stop_url,location_type,parent_station,stop_timezone,level_id,wheelchair_boarding,platform_code
StationEntrance:59496-IO1,,1|bd Exelmans,,2.260177,48.842849,,,2,stop_area:59496,,,0,
StationEntrance:59496-IO2,,3|r. Claude Lorrain (Hôpital Henry Dunant),,2.259236,48.841867,,,2,stop_area:59496,,,0,
StationEntrance:59498-IO0,,1|r. de Buzenval,,2.401195,48.851926,,,2,stop_area:59498,,,0,
StationEntrance:59498-IO1,,2|r. d'Avron,,2.401138,48.85176,,,2,stop_area:59498,,,0,
StationEntrance:59499-IO0,,2|bd Voltaire,,2.385645,48.85463,,,2,stop_area:59499,,,0,
StationEntrance:59499-IO1,,2|bd Voltaire,,2.385778,48.854551,,,2,stop_area:59499,,,0,
StationEntrance:59499-IO2,,4|r. Gobert,,2.383706,48.855522,,,2,stop_area:59499,,,0,
StationEntrance:59499-IO3,,1|r. de Charonne,,2.385509,48.85445,,,2,stop_area:59499,,,0,
StationEntrance:59499-IO4,,1|r. de Charonne,,2.385323,48.854555,,,2,stop_area:59499,,,0,
StationEntrance:59499-IO5,,3|r. de Belfort,,2.383962,48.855627,,,2,stop_area:59499,,,0,
StationEntrance:59500-IO0,,3|av. du Président Wilson,,2.300556,48.865038,,,2,stop_area:59500,,,0,
StationEntrance:59500-IO1,,2|Pont de l'Alma,,2.300827,48.864405,,,2,stop_area:59500,,,0,
StationEntrance:59500-IO2,,1|av. Montaigne (Théâtre des Champs-Élysées),,2.301729,48.864898,,,2,stop_area:59500,,,0,
StationEntrance:59501-IO0,,1|r. des Pyrénées,,2.405932,48.852925,,,2,stop_area:59501,,,0,
StationEntrance:59501-IO1,,3|r. d'Avron,,2.406025,48.852522,,,2,stop_area:59501,,,0,
StationEntrance:59501-IO2,,2|r. des Maraîchers,,2.406207,48.852556,,,2,stop_area:59501,,,0,
StationEntrance:59504-IO0,,1|r. de la Ferme,,2.238741,48.831973,,,2,stop_area:59504,,,0,
StationEntrance:59504-IO1,,3|r. Castéja,,2.236427,48.831224,,,2,stop_area:59504,,,0,
StationEntrance:59504-IO2,,2|r. Billancourt,,2.2386,48.832265,,,2,stop_area:59504,,,0,
StationEntrance:59504-IO3,,1|r. de la Ferme,,2.238523,48.831904,,,2,stop_area:59504,,,0,
StationEntrance:59504-IO4,,4|r. de Silly,,2.236232,48.831522,,,2,stop_area:59504,,,0,
StationEntrance:59504-IO5,,2|r. Billancourt,,2.23839,48.832195,,,2,stop_area:59504,,,0,
StationEntrance:59505-IO0,,7|r. Danjou,,2.246266,48.834391,,,2,stop_area:59505,,,0,
StationEntrance:59505-IO1,,3|av. Édouard Vaillant,,2.244297,48.83373,,,2,stop_area:59505,,,0,
StationEntrance:59505-IO2,,1|av. Victor Hugo,,2.244035,48.833941,,,2,stop_area:59505,,,0,
StationEntrance:59505-IO3,,6|r. Rieux,,2.246159,48.834543,,,2,stop_area:59505,,,0,
StationEntrance:59505-IO4,,2|pl. Marcel Sembat,,2.243983,48.83358,,,2,stop_area:59505,,,0,
StationEntrance:59505-IO5,,5|av. André Morizet,,2.243056,48.833635,,,2,stop_area:59505,,,0,
