route_id,service_id,trip_id,trip_headsign,direction_id,block_id
DUA800803571,9696,DUASN632520R01001-1_212086,"632520",1,
DUA800803571,9696,DUASN632521R01001-1_212087,"632521",1,
DUA800803571,9696,DUASN632522R01001-1_212088,"632522",1,
DUA800803571,9701,DUASN632643R01001-1_212089,"632643",1,
DUA800803571,9701,DUASN632644R01001-1_212090,"632644",1,
DUA800803571,9701,DUASN632645R01001-1_212091,"632645",1,
DUA800803571,9701,DUASN632646R01001-1_212092,"632646",1,
DUA800803571,9701,DUASN632647R01001-1_212093,"632647",1,
DUA800803571,9701,DUASN632648R01001-1_212094,"632648",1,
DUA800803571,9701,DUASN632649R01001-1_212095,"632649",1,
DUA800803571,9701,DUASN632650R01001-1_212096,"632650",1,
DUA800803571,9701,DUASN632651R01001-1_212097,"632651",1,
DUA800803571,9701,DUASN632652R01001-1_212098,"632652",1,
DUA800803571,9701,DUASN632653R01001-1_212099,"632653",1,
DUA800803571,9701,DUASN632654R01001-1_212100,"632654",1,
DUA800803571,9701,DUASN632655R01001-1_212101,"632655",1,
DUA800803571,9701,DUASN632656R01001-1_212102,"632656",1,
DUA800803571,9701,DUASN632657R01001-1_212103,"632657",1,
DUA800803571,9701,DUASN632658R01001-1_212104,"632658",1,
DUA800803571,9701,DUASN632659R01001-1_212105,"632659",1,
DUA800803571,9701,DUASN632660R01001-1_212106,"632660",1,
DUA800803571,9701,DUASN632661R01001-1_212107,"632661",1,
DUA800803571,9701,DUASN632662R01001-1_212108,"632662",1,
DUA800803571,9701,DUASN632663R01001-1_212109,"632663",1,
DUA800803571,9701,DUASN632664R01001-1_212110,"632664",1,
DUA800803571,9701,DUASN632665R01001-1_212111,"632665",1,
DUA800803571,9701,DUASN632666R01001-1_212112,"632666",1,
DUA800803571,9701,DUASN632667R01001-1_212113,"632667",1,
DUA800803571,9701,DUASN632668R01001-1_212114,"632668",1,
DUA800803571,9701,DUASN632669R01001-1_212115,"632669",1,
DUA800803571,9701,DUASN632670R01001-1_212116,"632670",1,
DUA800803571,9701,DUASN632671R01001-1_212117,"632671",1,
DUA800803571,9701,DUASN632672R01001-1_212118,"632672",1,
DUA800803571,9701,DUASN632673R01001-1_212119,"632673",1,
DUA800803571,9701,DUASN632674R01001-1_212120,"632674",1,
DUA800803571,9701,DUASN632675R01001-1_212121,"632675",1,
DUA800803571,9701,DUASN632676R01001-1_212122,"632676",1,
