trip_id,route_id,physical_mode_id,dataset_id,service_id,trip_headsign,trip_short_name,block_id,company_id,trip_property_id,geometry_id,journey_pattern_id
113757486-1_204310,100110013:13,Metro,default_dataset,1000,Asnières-Gennevilliers Les Courtilles,,,439,,,
113501867-1_199673,100110014:14,Metro,default_dataset,1000,Olympiades,,,439,1,,
113502090-1_199896,100110014:14,Metro,default_dataset,1000,Olympiades,,,439,1,,
113707996-1_215238,100110004:4_R,Metro,default_dataset,1000,Porte de Clignancourt,,,439,,,
113565108-1_21135,810:A,Train,default_dataset,1000,ORKA,,,741,1,,
113259887-1_210886,100110107:7B_R,Metro,default_dataset,1000,Pré-Saint-Gervais,,,439,,,
113555697-1_18621,810:B,Train,default_dataset,1000,EBRE,,,741,1,,
113497065-1_174627,100110011:11,Metro,default_dataset,1000,Châtelet,,,439,,,
113441728-1_183288,100110009:9_R,Metro,default_dataset,1000,Pont de Sèvres,,,439,,,
113752370-1_197164,100110003:3,Metro,default_dataset,1000,Pont de Levallois-Bécon,,,439,,,
113556859-1_22358,810:A,Train,default_dataset,1000,QIKI,,,741,1,,
113167024-1_207895,100110007:7,Metro,default_dataset,1000,Mairie d'Ivry,,,439,,,
113497990-1_175450,100110011:11_R,Metro,default_dataset,1000,Mairie des Lilas,,,439,,,
113752546-1_197331,100110003:3,Metro,default_dataset,1000,Pont de Levallois-Bécon,,,439,,,
113241152-1_211890,100110006:6,Metro,default_dataset,1000,Charles de Gaulle-Etoile,,,439,,,
113483168-1_194748,100110002:2,Metro,default_dataset,1000,Porte Dauphine (Maréchal de Lattre de Tassigny),,,439,,,
113495704-1_173198,100110010:10,Metro,default_dataset,1000,Gare d'Austerlitz,,,439,,,
113708195-1_213713,100110004:4,Metro,default_dataset,1000,Mairie de Montrouge,,,439,,,
113492894-1_193403,100110008:8_R,Metro,default_dataset,1000,Balard,,,439,,,
113426077-1_217689,100110005:5_R,Metro,default_dataset,1000,Bobigny-Pablo-Picasso,,,439,,,
113241129-1_211867,100110006:6,Metro,default_dataset,1000,Charles de Gaulle-Etoile,,,439,,,
113759363-1_206122,100110013:13_R,Metro,default_dataset,1000,Châtillon Montrouge,,,439,,,
113758013-1_204583,100110013:13,Metro,default_dataset,1000,Saint-Denis-Université,,,439,,,
113496224-1_173866,100110010:10_R,Metro,default_dataset,1000,Boulogne Pont de Saint-Cloud,,,439,,,
113244582-1_209678,100110007:7_R,Metro,default_dataset,1000,La Courneuve-8-Mai-1945,,,439,,,
113493025-1_193534,100110008:8_R,Metro,default_dataset,1000,Balard,,,439,,,
113259904-1_210903,100110107:7B_R,Metro,default_dataset,1000,Pré-Saint-Gervais,,,439,,,
113557491-1_18926,810:B,Train,default_dataset,1000,SOSO,,,741,1,,
113243476-1_208754,100110007:7,Metro,default_dataset,1000,Mairie d'Ivry,,,439,,,
113482324-1_178348,100110001:1_R,Metro,default_dataset,1000,Château de Vincennes,,,439,,,
113259918-1_210917,100110107:7B_R,Metro,default_dataset,1000,Pré-Saint-Gervais,,,439,,,
113758940-1_205914,100110013:13_R,Metro,default_dataset,1000,Châtillon Montrouge,,,439,,,
113575378-1_22737,800:D,Train,default_dataset,1000,ZOSO,,,741,1,,
113587494-1_26821,800:D:Bus,Bus,default_dataset,1000,GARE DE MAISONS ALFORT ALFORTVILLE,,,741,1,,
113560335-1_18683,810:B,Train,default_dataset,1000,ERSE,,,741,1,,
113497021-1_174583,100110011:11,Metro,default_dataset,1000,Châtelet,,,439,,,
113755583-1_214774,100110004:4,Metro,default_dataset,1000,Mairie de Montrouge,,,439,,,
113495218-1_184126,100110009:9_R,Metro,default_dataset,1000,Pont de Sèvres,,,439,,,
113481955-1_178280,100110001:1_R,Metro,default_dataset,1000,Château de Vincennes,,,439,,,
113559157-1_25559,800:D,Train,default_dataset,1000,FACA,,,741,1,,
113392055-1_177291,100110001:1_R,Metro,default_dataset,1000,Château de Vincennes,,,439,,,
113441428-1_183161,100110009:9_R,Metro,default_dataset,1000,Pont de Sèvres,,,439,,,
113555414-1_17357,810:B,Train,default_dataset,1000,PAKE,,,741,1,,
113587691-1_25029,800:D:Bus,Bus,default_dataset,1000,GARE DE GOUSSAINVILLE,,,741,1,,
113481032-1_177734,100110001:1_R,Metro,default_dataset,1000,Château de Vincennes,,,439,,,
113565119-1_21145,810:A,Train,default_dataset,1000,ORKA,,,741,1,,
113400575-1_193670,100110002:2,Metro,default_dataset,1000,Porte Dauphine (Maréchal de Lattre de Tassigny),,,439,,,
113555994-1_22800,800:D,Train,default_dataset,1000,LOPA,,,741,1,,
113501924-1_199730,100110014:14,Metro,default_dataset,1000,Olympiades,,,439,1,,
113474712-1_206506,100110103:3B,Metro,default_dataset,1000,Gambetta,,,439,,,
113504405-1_207547,100110103:3B_R,Metro,default_dataset,1000,Porte des Lilas,,,439,,,
113497091-1_174653,100110011:11,Metro,default_dataset,1000,Châtelet,,,439,,,
113491143-1_218723,100110005:5_R,Metro,default_dataset,1000,Bobigny-Pablo-Picasso,,,439,,,
113253049-1_203094,100110012:12_R,Metro,default_dataset,1000,Mairie d'Issy,,,439,,,
113242815-1_208328,100110007:7,Metro,default_dataset,1000,Villejuif-Louis Aragon,,,439,,,
113494110-1_182852,100110009:9,Metro,default_dataset,1000,Mairie de Montreuil,,,439,,,
113490088-1_217533,100110005:5,Metro,default_dataset,1000,Place d'Italie,,,439,,,
113400538-1_194999,100110002:2_R,Metro,default_dataset,1000,Nation,,,439,,,
113596944-1_13328,800:E,Train,default_dataset,1000,HONY,,,741,1,,
113441101-1_181882,100110009:9,Metro,default_dataset,1000,Mairie de Montreuil,,,439,,,
113557407-1_18886,810:B,Train,default_dataset,1000,SOSO,,,741,1,,
113243449-1_208727,100110007:7,Metro,default_dataset,1000,Mairie d'Ivry,,,439,,,
113502966-1_200728,100110014:14_R,Metro,default_dataset,1000,Saint-Lazare,,,439,1,,
113259777-1_210776,100110107:7B_R,Metro,default_dataset,1000,Pré-Saint-Gervais,,,439,,,
113503257-1_201019,100110014:14_R,Metro,default_dataset,1000,Saint-Lazare,,,439,1,,
113490095-1_217540,100110005:5,Metro,default_dataset,1000,Place d'Italie,,,439,,,
113754380-1_198824,100110003:3_R,Metro,default_dataset,1000,Gallieni (Parc de Bagnolet),,,439,,,
113243887-1_209232,100110007:7_R,Metro,default_dataset,1000,La Courneuve-8-Mai-1945,,,439,,,
113698007-1_196437,100110003:3,Metro,default_dataset,1000,Pont de Levallois-Bécon,,,439,,,
113718152-1_203447,100110013:13,Metro,default_dataset,1000,Saint-Denis-Université,,,439,,,
113474666-1_206488,100110103:3B,Metro,default_dataset,1000,Gambetta,,,439,,,
113259565-1_210296,100110107:7B,Metro,default_dataset,1000,Louis Blanc,,,439,,,
